cell,input_transition_ns,load_pf
invx1,0.01,0.0005
invx1,0.01,0.0013
invx1,0.01,0.0035
invx1,0.01,0.0094
invx1,0.01,0.0249
invx1,0.01,0.0662
invx1,0.01,0.1758
invx1,0.0231,0.0005
invx1,0.0231,0.0013
invx1,0.0231,0.0035
invx1,0.0231,0.0094
invx1,0.0231,0.0249
invx1,0.0231,0.0662
invx1,0.0231,0.1758
invx1,0.0531,0.0005
invx1,0.0531,0.0013
invx1,0.0531,0.0035
invx1,0.0531,0.0094
invx1,0.0531,0.0249
invx1,0.0531,0.0662
invx1,0.0531,0.1758
invx1,0.1225,0.0005
invx1,0.1225,0.0013
invx1,0.1225,0.0035
invx1,0.1225,0.0094
invx1,0.1225,0.0249
invx1,0.1225,0.0662
invx1,0.1225,0.1758
invx1,0.2823,0.0005
invx1,0.2823,0.0013
invx1,0.2823,0.0035
invx1,0.2823,0.0094
invx1,0.2823,0.0249
invx1,0.2823,0.0662
invx1,0.2823,0.1758
invx1,0.6507,0.0005
invx1,0.6507,0.0013
invx1,0.6507,0.0035
invx1,0.6507,0.0094
invx1,0.6507,0.0249
invx1,0.6507,0.0662
invx1,0.6507,0.1758
invx1,1.5,0.0005
invx1,1.5,0.0013
invx1,1.5,0.0035
invx1,1.5,0.0094
invx1,1.5,0.0249
invx1,1.5,0.0662
invx1,1.5,0.1758
invx2,0.01,0.0005
invx2,0.01,0.0013
invx2,0.01,0.0035
invx2,0.01,0.0094
invx2,0.01,0.0249
invx2,0.01,0.0662
invx2,0.01,0.1758
invx2,0.0231,0.0005
invx2,0.0231,0.0013
invx2,0.0231,0.0035
invx2,0.0231,0.0094
invx2,0.0231,0.0249
invx2,0.0231,0.0662
invx2,0.0231,0.1758
invx2,0.0531,0.0005
invx2,0.0531,0.0013
invx2,0.0531,0.0035
invx2,0.0531,0.0094
invx2,0.0531,0.0249
invx2,0.0531,0.0662
invx2,0.0531,0.1758
invx2,0.1225,0.0005
invx2,0.1225,0.0013
invx2,0.1225,0.0035
invx2,0.1225,0.0094
invx2,0.1225,0.0249
invx2,0.1225,0.0662
invx2,0.1225,0.1758
invx2,0.2823,0.0005
invx2,0.2823,0.0013
invx2,0.2823,0.0035
invx2,0.2823,0.0094
invx2,0.2823,0.0249
invx2,0.2823,0.0662
invx2,0.2823,0.1758
invx2,0.6507,0.0005
invx2,0.6507,0.0013
invx2,0.6507,0.0035
invx2,0.6507,0.0094
invx2,0.6507,0.0249
invx2,0.6507,0.0662
invx2,0.6507,0.1758
invx2,1.5,0.0005
invx2,1.5,0.0013
invx2,1.5,0.0035
invx2,1.5,0.0094
invx2,1.5,0.0249
invx2,1.5,0.0662
invx2,1.5,0.1758
invx4,0.01,0.0005
invx4,0.01,0.0013
invx4,0.01,0.0035
invx4,0.01,0.0094
