cell,tphl_ns,tplh_ns,trise_ns,tfall_ns
invx1,0.05515857,0.06459315,0.04976345,0.03693276
invx2,0.03800729,0.04777681,0.03443350,0.02621575
invx4,0.02663537,0.03635775,0.02636954,0.01995222
invx8,0.01931612,0.02917704,0.02133065,0.01569875
nand2x1,0.04603252,0.06796481,0.05183587,0.03364713
nand2x2,0.03227152,0.05200767,0.03550543,0.02480575
nand2x4,0.02330527,0.04157036,0.02794995,0.01936568
nor2x1,0.05943068,0.06395282,0.05536217,0.03722318
nor2x2,0.04283067,0.04697990,0.03903513,0.02631614
nor2x4,0.03242920,0.03681173,0.03095151,0.02058572
maj3x1,0.07229627,0.09824484,0.08784456,0.05517318
maj3x2,0.06240505,0.08114718,0.06559754,0.04547230
maj3x4,0.05673607,0.07378979,0.05673165,0.04083720
